22,23,23,23,23,23,23,24,10,25,26,26,26,26,26,27
32,01,20,01,01,01,01,01,01,01,01,01,01,20,01,37
32,20,20,01,01,01,01,01,01,01,01,01,01,20,20,37
32,01,01,01,01,01,01,01,01,01,01,01,01,01,01,37
32,01,01,01,01,01,01,01,01,01,01,01,01,01,01,37
32,01,01,01,01,01,01,01,01,01,01,01,01,01,01,37
42,01,01,01,01,01,01,01,01,01,01,01,01,01,01,47
42,01,01,01,01,01,01,01,01,01,01,01,01,01,01,47
42,01,01,01,01,01,01,01,01,01,01,01,01,01,01,47
42,20,20,01,01,01,01,01,01,01,01,01,01,20,20,47
42,01,20,01,01,01,01,01,01,01,01,01,01,20,01,47
52,53,53,53,53,53,56,54,11,55,56,56,56,56,56,57
